id,category,value
171,B,71.55022472494801
172,B,215.0389269609517
173,C,178.8353349140589
174,B,254.0938529230627
175,C,234.23961852713578
176,A,264.25587050902993
177,C,78.56029884122711
178,B,261.4393357415058
179,A,128.78521880473335
180,A,100.32236100421372
181,A,41.7687672052337
182,C,383.699753790509
183,B,219.4465412197144
184,A,317.0554048227616
185,A,366.52073821932424
186,A,342.8651660036412
187,C,240.5453523539443
188,C,200.07027918634762
189,B,194.22035572392522
190,C,323.6239104957276
191,A,252.44923392151796
192,B,426.0748015143702
193,A,438.60397232008893
194,A,93.57458522319405
195,C,76.75448925740557
196,B,318.89645375763973
197,C,157.60061655051692
198,C,19.09965219489844
199,B,445.434907987848
200,A,121.18137594946604
201,A,465.34751932604644
202,B,361.54288093034427
203,A,383.7002100566273
204,B,108.7161329386486
205,B,124.75526855223833
206,C,265.4211993737922
207,B,94.32892779843246
208,C,159.66152941468582
209,A,167.5166141944242
210,A,88.21866729385441
211,A,110.53958836362877
212,A,396.3904025840457
213,C,91.92596872816151
214,A,23.94412200352202
215,B,318.3839218881798
216,B,488.2317285023005
217,B,172.29476916532948
218,C,68.14129456616362
219,A,289.48978943009007
220,A,454.1135634368666
221,A,394.1902721159546
222,C,315.03277552223085
223,B,164.3776833377237
224,B,275.5212849053478
225,A,54.709972239085126
226,B,342.6832578975283
227,B,365.2970492598489
228,C,482.86549522586023
229,C,137.5947057850851
230,C,19.043645331081095
231,C,277.3481475693038
232,A,356.3273471544391
233,C,397.2996631826641
234,B,104.9320771821572
235,A,138.2589058281416
236,B,261.16955338097523
237,B,171.99439688530092
238,B,431.65062842784806
239,C,242.14247533197292
240,C,401.79353560998146
241,A,294.50368263635335
242,A,388.8141693923849
243,C,173.00976339985868
244,B,417.3941447458525
245,A,144.54043462000058
246,C,277.58841592161247
247,C,114.86348545519837
248,C,243.00799559683475
249,B,165.90585265926455
250,C,140.684681012235
251,C,483.8226588337384
252,C,88.43631168849801
253,C,395.78966035412367
254,A,492.2408301467753
255,A,19.751727032638136
256,C,352.52343288062656
257,B,133.9267847225807
258,A,29.839033920869177
259,C,207.4158936887491
260,A,468.25672698372875
261,A,15.764896239828866
262,B,298.063989045593
263,C,255.6842745117089
264,C,437.95824054181327
265,B,51.16084011510657
266,B,343.94775464445866
267,C,343.2537522323059
268,C,337.8492082625188
269,B,471.7439025181681
270,A,413.3128892133714
271,A,30.566635859317945
272,B,240.83059684521146
273,A,204.9969975386534
274,B,161.972138334493
275,A,231.15499532550766
276,A,198.25515061372894
277,C,221.843610940546
278,C,489.8383141482348
279,A,53.43015762729458
280,A,461.8931262209776
281,C,245.31598960080308
282,C,315.63370029477517
283,C,416.78965364267
284,B,186.6268842831352
285,A,220.90673496310376
286,C,210.66405533656985
287,A,193.61820104252232
288,B,463.5093676069785
289,B,416.1756466845759
290,C,63.40999503285829
291,B,62.98044271377706
292,A,219.65606227796567
293,C,58.34211459907644
294,A,313.3556166828486
295,A,80.40888755824962
296,B,265.9628993437325
297,B,13.537774031821698
298,B,165.1322107221969
299,B,341.8234545996012
300,B,247.17908071164572
301,C,489.3520481395042
302,A,438.3108600724433
303,A,185.9446817311441
304,A,32.28840532141456
305,A,424.3568870563592
306,B,456.50481205418896
307,A,412.107422775328
308,C,72.69547105068477
309,C,498.978415862021
310,A,136.70626856085917
311,A,364.86040727610134
312,C,454.9370894045036
313,C,125.48668602204762
314,B,455.0466917917624
315,C,161.6459738054848
316,B,488.4424789681875
317,B,147.81740998643255
318,B,477.18355413133924
319,B,36.23687893741071
320,B,357.5432857182084
321,A,270.7344555801318
322,C,244.159767790138
323,B,119.5122139853616
324,C,355.74193699048107
325,C,103.49665080869048
326,B,280.8924800325364
327,A,134.09022788972288
328,B,478.2544760928645
329,A,24.029284979469885
330,C,107.86685725450592
331,A,128.7321971298494
332,A,212.89323462623005
333,A,124.03781851632623
334,C,250.76105423170478
335,C,437.5081063966841
336,A,358.91107649049366
337,A,294.1813704622044
338,B,53.61155721151303
339,A,350.05613311074507
340,B,91.54299931236052
341,A,395.320019121232
342,B,132.52781166997505
343,C,214.35387687724145
344,A,181.73039913578467
345,A,430.81881819067985
346,A,72.00678476956999
347,A,287.1659923685464
348,B,79.6101886271005
349,A,355.34995970477144
350,C,453.4882826192958
351,C,222.9577503949542
352,A,249.16520752983817
353,C,464.4371898765535
354,A,265.285780438185
355,A,248.92323464428486
356,C,293.38126032510905
357,A,347.7225708178464
358,C,62.37285379264538
359,B,412.34415859334285
360,A,223.39746345209704
361,B,45.450769849767916
362,C,395.2295079071244
363,B,194.7054861262733
364,B,59.18007259657643
365,C,320.5517293761928
366,B,441.26436318248443
367,B,444.9992196128533
368,C,479.25510265639684
369,B,435.17567528567713
370,C,11.04905047928286
371,B,196.3181715425612
372,C,411.0858641536965
373,C,189.46397293925236
374,B,304.758768126056
375,B,307.0953042135207
376,B,188.86239897902328
377,A,453.19222436783093
378,A,256.5818892391976
379,A,237.74426090937538
380,C,498.781735374329
381,B,251.81517839558217
382,C,97.41514344500472
383,A,261.40401720308466
384,B,408.86820040476573
385,C,390.6615601801579
386,B,396.4050649031508
387,C,356.93165415897676
388,B,134.56673624267722
389,A,432.4212020617134
390,A,447.7872980343699
391,B,105.13482134308904
392,C,73.92326191018302
393,A,488.0464346086649
394,A,435.47874218868026
395,A,447.6857121328739
396,B,444.32442846595364
397,B,275.4265437765269
398,C,326.73685096624183
399,C,277.2277975454844
400,C,35.09111110326124
401,B,375.2965118228586
402,B,257.6126963345813
403,C,327.3774466472126
404,C,256.2935044380123
405,B,250.98754793800342
406,C,94.17666364410574
407,A,146.569720419163
408,B,87.83781905253834
409,C,105.87648485641779
410,B,486.7589164059494
411,A,85.02558842837723
412,B,141.94250790955175
413,B,299.38893229190666
414,B,308.9875023559545
415,B,85.44732357447624
416,A,398.92153863475403
417,B,394.74940527728427
418,B,126.28567505990664
419,C,151.4464883109756
420,B,469.6140540751535
421,C,414.57900852994425
422,A,351.9205462006367
423,A,50.294278540194256
424,A,214.9493996422621
425,A,284.05791731764526
426,C,101.8315311120507
427,B,229.63102523303002
428,A,304.5026799694581
429,B,170.41457325654562
430,C,392.66296128573873
431,C,421.8202950030147
432,C,168.56864002269467
433,A,420.942005701304
434,B,60.75251739047736
435,B,420.4872583251016
436,B,84.84771151713213
437,C,50.63430472976576
438,A,324.4699481760955
439,C,241.24930922009423
440,C,454.86639420228806
441,B,187.9627060845161
442,C,150.70460908443806
443,B,255.36010401065718
444,A,233.41363102664403
445,B,178.76974264642226
446,A,349.933236362181
447,B,382.1852986178151
448,C,427.96214482476694
449,C,486.699736308068
450,A,140.6615341449272
451,A,360.88580642008117
452,A,203.18653539291518
453,B,341.77016625604296
454,B,243.23102827111796
455,A,496.9488203562865
456,C,367.16204653746746
457,B,476.720737212819
458,B,419.135079245781
459,B,452.4214954700518
460,A,409.0654066351907
461,A,234.98797388419658
462,A,133.37634213997336
463,A,191.45688597075588
464,A,19.91575399357572
465,C,266.7566520576869
466,C,257.47832213250024
467,A,267.37272776693925
468,B,487.2753002363113
469,A,456.61246169287125
470,C,89.23926138175293
471,C,190.7524355623857
472,B,217.73852793699834
473,C,186.6611297473074
474,A,401.2630221659174
475,B,266.77845823511757
476,A,290.32891031609626
477,A,427.9766439040835
478,B,404.9047951735257
479,A,74.78364618194685
480,C,359.8181462009808
481,A,223.36370316199742
482,B,154.37796250062522
483,B,34.50922224207131
484,B,248.75228456927098
485,A,184.1639735550204
486,B,133.2413894414364
487,B,350.3891475025092
488,A,387.04783978463763
489,C,129.94686432441816
490,A,34.229243972880155
491,B,425.8888232769651
492,B,14.880273190108626
493,A,469.1851220215213
494,C,317.5337382515259
495,B,167.70485124864695
496,B,130.77417569260075
497,B,14.41277548959287
498,A,125.3809943353298
499,B,77.48686774339915
500,C,309.9614481543414
501,B,91.60733841096264
502,B,269.0286203929435
503,C,299.1570469487907
504,B,156.0404321899881
505,A,27.181825019172166
506,A,28.25440150095609
507,A,22.910192775019627
508,C,372.17108689690764
509,B,165.82475535900608
510,A,400.1870911241552
511,C,221.5490836829961
512,B,231.96906940668228
513,C,261.31247522969113
514,A,359.3854136238009
515,A,144.01640425655646
516,A,69.57780127142817
517,C,282.46809424381615
518,C,170.21903538894225
519,A,226.82074369733832
520,C,327.00388708527964
521,A,252.1216131592226
522,A,313.936620379413
523,B,276.65800103567767
524,C,372.5002222486886
525,A,355.9089426786938
526,A,271.7530469862234
527,C,342.6624802212564
528,B,438.04420511358023
529,B,221.8129310162026
530,A,212.2539056469089
531,C,384.4803542176663
532,B,295.45138015057705
533,C,44.79332230906839
534,C,447.1348876886299
535,A,25.083720096443667
536,B,376.71421454277413
537,A,381.8091299251133
538,B,477.02443178814593
539,B,36.52586011713717
540,B,302.4598617844006
541,B,219.64187960725593
542,B,172.01014788117558
543,C,54.25609454654579
544,A,285.7005186389415
545,C,244.7299555805607
546,B,61.23168449400189
547,A,310.11985847757086
548,B,371.59702892393983
549,A,385.9663675162876
550,C,453.63286224858945
551,A,210.64066352550083
552,A,477.0056566248471
553,A,434.0604084905162
554,A,155.28576980173014
555,A,88.04868830123465
556,B,223.34080410272657
557,A,206.93036689842364
558,A,292.1024596122901
559,C,295.8592538405965
560,A,377.49362234618786
561,C,259.846074620749
562,B,61.363094060975115
563,A,430.56275442102196
564,C,161.78464576074165
565,C,485.9357555502301
566,B,67.75145325308736
567,A,479.5430743939266
568,A,54.59578537243332
569,C,123.20770759405913
570,A,32.82417162240538
571,C,355.5054418531075
572,A,426.646380920178
573,C,222.69483008983042
574,A,464.9758167707905
575,B,299.2465451602438
576,A,318.7034963687964
577,A,424.25540883337726
578,B,155.43210047540106
579,A,183.59020345053665
580,B,453.91644040537574
581,A,451.47211305899424
582,C,488.47656033842674
583,C,451.90077505641887
584,A,72.41229765634684
585,A,413.6249002071238
586,A,210.8208542737011
587,C,495.49266441350954
588,A,241.41767252111254
589,C,281.3796804260881
590,B,269.5897084758313
591,C,167.6511446305561
592,C,46.7608235575299
593,B,448.8691028969401
594,C,403.31114813788054
595,A,78.36812247423795
596,A,390.6164529615357
597,C,316.6648663647989
598,A,210.48045607963493
599,C,134.47036305682573
600,A,431.2671039160939
601,A,353.092247054086
602,C,278.39255563987706
603,A,308.6885816102474
604,C,54.62242922026868
605,A,242.22068284648404
606,A,104.91314346499398
607,B,112.10800271432443
608,B,334.0389415205647
609,C,456.51551439880114
610,B,207.84073913438982
611,C,111.79714377597328
612,B,327.8859992459606
613,A,436.8816527116557
614,C,376.6762125500205
615,C,435.6910429629277
616,A,272.91178879529167
617,C,378.41935974090353
618,C,78.63163408587887
619,B,180.65456152796384
620,C,200.879090595946
621,A,260.534915660557
622,B,465.2474165258436
623,B,438.4053145088654
624,A,75.91749122170042
625,A,94.66692942240697
626,B,185.24386929856655
627,C,152.4644942864302
628,B,311.23776704656854
629,A,452.360263404627
630,B,481.5228554195675
631,A,330.26544674226096
632,B,420.6980086865325
633,C,267.34907811309057
634,B,112.08020396141946
635,B,267.0973219258039
636,A,281.990474704449
637,A,373.80420646464273
638,A,117.74266495660106
639,B,190.47208722249854
640,C,188.3734599151375
641,A,480.1254019131708
642,A,227.53303056009227
643,B,379.99604397609176
644,A,377.89757687347515
645,C,140.11665055358827
646,C,290.2161477921487
647,A,448.20841772613755
648,A,242.84688253390522
649,B,473.1075785978476
650,C,115.08453236883918
651,C,46.33796182927506
652,A,446.8123978409272
653,B,425.3637870014862
654,C,496.3690392075839
655,C,342.90280917508875
656,B,468.9770840669033
657,B,415.20502229121433
658,C,423.76890322884253
659,C,288.87936952259145
660,B,197.35865297918832
661,C,467.9334555462081
662,A,221.7374160517883
663,A,274.02148995233784
664,B,228.59601049134199
665,B,286.7609738404966
666,B,240.54748870624033
667,A,33.50410370394318
668,C,442.2036111437723
669,A,227.7529712687272
670,C,298.5823877686009
671,A,78.20202335141364
672,C,11.660045511493177
673,A,130.19214588538506
674,B,355.2471557453416
675,A,58.60531975531051
676,C,455.3548457893692
677,A,115.36105898453044
678,A,110.25087100297014
679,A,98.9389011945328
680,B,16.851039355968727
681,A,388.18467955433493
682,B,438.76692031017666
683,B,310.93972428193746
684,A,102.21799102313253
685,A,149.78621850103107
686,A,243.204081708832
687,C,477.62951629541743
688,A,131.20217219069397
689,B,368.50649292074513
690,A,225.32962941353097
691,C,155.9452006964107
692,A,233.39880914083574
693,C,44.89129159520394
694,C,401.35681175587763
695,A,129.2179447116539
696,B,365.4519403645555
697,C,43.49070200961541
698,A,477.99829252118616
699,A,104.57734284879233
700,B,442.5436173414694
701,C,406.6418727115629
702,C,484.2513627998938
703,A,244.16642386341732
704,A,366.42467398451623
705,B,191.6482219485142
706,B,100.34043662964997
707,C,227.10720713738993
708,C,91.2170175403429
709,A,491.2018651653281
710,C,57.160780658951026
711,B,298.713744491784
712,B,316.9672890744874
713,A,273.6589760082866
714,B,334.47108399879846
715,B,66.92857975582656
716,B,281.95907686059263
717,B,150.73415985240715
718,A,470.68627101751775
719,A,383.4151101854656
720,C,486.5320962582739
721,B,28.402474172692877
722,C,149.71525583854725
723,A,105.757067452791
724,A,15.465747782796946
725,A,128.7396078206975
726,A,342.6002319250102
727,A,123.23357184593858
728,A,259.4116882864829
729,A,445.03087633284935
730,B,349.94138097104684
731,C,203.36824425395565
732,A,192.50978006693308
733,B,233.3105488641575
734,B,96.75030611935412
735,C,320.66037603383415
736,A,188.43488136125669
737,C,427.6590211384014
738,A,380.71080342833
739,B,309.1514504051584
740,B,188.45908909826287
741,B,112.86659752000735
742,B,390.3144134117552
743,C,248.3404585056324
744,A,120.12751870690518
745,A,105.63556136960304
746,C,91.04644320566592
747,A,390.8089861407415
748,B,122.20372079715274
749,A,268.05470912734677
750,B,231.25771687679767
751,C,294.0093406218591
752,A,439.8059011818852
753,C,435.196221140048
754,A,231.02727519418121
755,B,17.52946286001442
756,C,218.95746480000855
757,A,307.0348333378288
758,B,283.3047319580503
759,C,329.1546918421007
760,C,85.49710891181091
761,A,326.80219840255893
762,A,99.49929318444839
763,A,377.756750541407
764,B,176.1529304987132
765,A,357.84876235691223
766,C,33.45414346399247
767,C,209.85141253954757
768,A,355.46691590903305
769,A,121.16655300243212
770,C,399.69065195063905
771,B,319.08206922141665
772,A,297.9052683534012
773,A,183.2389385601252
774,C,246.4012204867476
775,A,302.70115747914804
776,B,241.50643581829632
777,C,352.17352873087447
778,A,222.51149722241018
779,C,109.11385905359487
780,A,114.82755357251315
781,A,12.843846733041136
782,A,157.4692806237495
783,B,376.9696438344746
784,B,399.1397273304287
785,C,109.2090956269175
786,A,479.93155846698977
787,A,256.17736880526206
788,B,459.31958701906626
789,A,356.3149881121993
790,B,363.9923772809824
791,A,51.671374439974855
792,C,117.79565217949603
793,A,14.319268314291591
794,A,360.9025438336014
795,B,178.7747613299699
796,A,395.4597328774099
797,A,176.07874776914286
798,B,411.47353862644195
799,C,74.04214433667337
800,C,94.95284681117901
801,B,177.02950439612889
802,B,210.15882055231393
803,B,180.8643773130594
804,B,384.18704593637773
805,B,57.506182387090206
806,C,182.09633962285915
807,C,420.2475997625751
808,B,42.730567858464276
809,A,471.7483187589651
810,B,493.2952527132863
811,A,53.398405174289245
812,B,152.7235359053111
813,B,192.47632635732452
814,C,390.43177063983575
815,A,302.0041379371996
816,A,325.739193241358
817,C,381.1798131810679
818,C,67.8097097241426
819,C,418.2726338860286
820,C,355.75370404827055
821,A,292.89744534622145
822,A,445.9703140436978
823,B,353.1501134030655
824,B,108.83298168920246
825,C,220.57523672707669
826,C,252.08100479850933
827,C,37.05663710769876
828,B,477.7723815464273
829,B,73.00285779047046
830,B,351.75602094109615
831,B,258.0532076845313
832,B,22.55980244336707
833,B,463.1262631735372
834,B,427.40003632127724
835,C,266.8863846728794
836,C,122.18174470832818
837,C,69.59521643324618
838,C,188.06231492174203
839,B,135.15985771258434
840,A,258.2786884930864
841,B,483.5405551004802
842,A,291.7272116825243
843,C,446.06621738614797
844,B,328.93063037293086
845,C,242.87079802772823
846,B,428.75770573935193
847,C,240.97037398476877
848,A,435.6278035500769
849,A,152.87261709212498
850,A,73.11840614386418
851,B,429.1040875378398
852,A,297.83343025840674
853,B,445.65527514199044
854,A,469.53533142626776
855,A,36.277911282010095
856,B,255.4749579108455
857,B,193.73262904651932
858,A,316.6706145643574
859,B,398.85968662913854
860,A,147.4892058274408
861,B,282.8312083428541
862,C,357.2770041534008
863,C,75.87123058950966
864,C,408.8927839161208
865,C,306.9937039279568
866,C,475.2733441856894
867,A,176.3691703740397
868,C,62.99151174522734
869,C,258.18558850809336
870,C,52.047278137625035
871,C,485.0679964287633
872,B,28.955629546023854
873,A,379.21691154258093
874,C,267.30017508969956
875,C,190.62411972416146
876,C,42.26266060924078
877,A,314.8617928450678
878,B,296.7579614015681
879,A,147.63280380312386
880,B,456.0086336910529
881,C,159.01390359799007
882,C,230.365451190132
883,A,276.4436034001413
884,A,59.113620306380184
885,B,466.7592424146798
886,B,193.52271470101013
887,A,49.58181479842837
888,B,199.77267510091167
889,A,304.0992480753645
890,B,261.6898091924515
891,A,350.32556727826426
892,A,37.18713161327621
893,A,149.4248990333075
894,B,411.4229826516501
895,B,49.14790701776682
896,B,429.1881178010192
897,A,55.02908511778206
898,B,418.88256529693115
899,B,186.78631652857607
900,A,309.98244099603573
901,C,84.9146866675191
902,A,42.42267364533861
903,B,115.8097199698662
904,A,72.64837077526082
905,C,163.07888986301958
906,A,262.04779079039986
907,B,298.49213714685465
908,C,397.035372616074
909,B,331.55754769169573
910,C,308.29157931348095
911,C,211.77319346802958
912,A,242.16613313046795
913,A,213.11520640118874
914,B,422.66135473007773
915,A,122.70022174871592
916,A,12.803256455562666
917,C,329.14674964085725
918,A,109.20646998302739
919,C,446.1564167918066
920,C,430.93270155626146
921,C,47.59641224482088
922,B,62.1303186528979
923,B,252.6340802008665
924,B,308.5191047569838
925,C,144.70508536629796
926,B,361.23088118269163
927,B,301.50885025024706
928,A,169.1638137767918
929,B,22.43202914073464
930,B,377.5736378362737
931,C,115.22929625429053
932,C,418.8921342966879
933,C,215.94222742658505
934,C,292.76794688956505
935,C,437.7448779004109
936,C,433.17527045077713
937,B,192.0445918693509
938,C,112.35555743027312
939,C,389.8215780870114
940,A,222.20929976504428
941,B,104.10057684391201
942,B,453.1684177354036
943,B,107.07105517813282
944,C,22.64551241370323
945,C,19.937187146035782
946,C,314.9345246625895
947,A,334.2207797515899
948,C,162.4104354779221
949,A,166.80538473106105
950,B,176.35201837937194
951,C,343.27768791185053
952,A,38.485557603146006
953,A,465.26701281874955
954,C,119.03531164694876
955,B,499.8398705686252
956,B,94.04611995572162
957,B,388.05776408306497
958,A,119.47214701551627
959,A,49.61493280519445
960,A,438.7173289318179
961,A,430.788117003537
962,B,207.74949230030467
963,C,354.17410984480915
964,A,282.9623070151194
965,A,427.9484957001369
966,B,164.37742496614067
967,C,266.5994759995027
968,C,247.83246189022972
969,B,183.41385486586077
970,B,446.8129816326224
971,C,91.28018308464239
972,A,83.25923336514111
973,C,292.6856723081482
974,B,332.1721726926216
975,A,105.36343461903694
976,A,201.45154670476583
977,B,473.8162830595844
978,B,130.84253711843024
979,B,337.4967440375231
980,C,372.6732029118195
981,C,229.58306273792817
982,A,469.38773351219567
983,B,370.96180025720736
984,A,234.38304413183994
985,A,288.97424887028603
986,A,349.38058727829934
987,A,300.1731884103169
988,B,440.5618160747772
989,A,184.87544451739657
990,B,156.94401262734442
991,B,114.78105585267951
992,C,28.513654351651617
993,B,31.076842546227116
994,C,436.3270446235486
995,B,342.4126417388946
996,B,333.6608835638782
997,B,311.17498127809415
998,C,426.11738090011136
999,C,245.33079357615745
1000,A,436.50130599356714
1001,C,186.1280628292972
1002,C,464.08667712615437
1003,C,352.3419202398077
1004,C,136.01679665196934
1005,A,286.4016116274263
1006,C,271.18497512924523
1007,B,77.57042264786364
1008,B,299.7090238178009
1009,C,164.2449556213094
1010,C,35.650895736705195
1011,B,474.8415172762168
1012,B,324.330280841501
1013,A,439.69027661671504
1014,B,341.26744245649405
1015,B,184.92200914865535
1016,C,261.2171554411176
1017,B,341.1159125701168
1018,A,480.5236393487044
1019,B,134.29803496963126
1020,C,438.73875872581766
1021,C,462.798124594192
1022,B,338.5036021828887
1023,C,466.3206474266555
1024,A,204.96050786391055
1025,A,476.97792625981697
1026,B,354.3636098113277
1027,B,30.58282603521783
1028,B,454.3676875913359
1029,C,247.39167642626435
1030,A,235.5602225411381
1031,A,287.5686369300208
1032,C,83.19842791790168
1033,A,239.89136379802534
1034,B,417.2523361916954
1035,B,17.586404977382514
1036,B,143.72940855894194
1037,A,11.202747357483668
1038,B,213.69854148342569
1039,C,366.87460014193
1040,C,401.398196266168
1041,A,473.14298295223324
1042,C,308.1672603556854
1043,C,134.76716465991876
1044,A,462.83249507698247
1045,B,389.9047194013843
1046,B,291.46995667154084
1047,B,350.86370570227865
1048,A,462.91501395364025
1049,C,359.0730739517316
1050,B,190.50350871651966
1051,B,359.3838191216574
1052,A,29.736299740340055
1053,B,199.3436252969848
1054,A,209.09828560433385
1055,C,91.75073486620899
1056,A,21.311885470367386
1057,A,75.35680595249399
1058,A,330.764532940557
1059,A,403.1215200182069
1060,C,494.2197114362173
1061,C,179.7181165231622
1062,B,303.69581890793984
1063,C,469.20103373940975
1064,C,91.85047285569479
1065,B,361.6463373079439
1066,C,379.93957924308995
1067,A,53.5980125759758
1068,A,432.0121987397019
1069,B,408.4214730843135
1070,B,26.367473222942877
1071,B,54.63136329122523
1072,A,34.072178007007636
1073,C,174.02433058168748
1074,A,259.5516054331638
1075,B,270.8503866977681
1076,C,141.1567122870269
1077,C,456.68247441453434
1078,A,190.44876703723747
1079,B,32.319576423022724
1080,A,157.11128465527932
1081,C,270.2436170466362
1082,A,210.0286930682337
1083,A,144.182834358637
1084,B,74.34839238451553
1085,B,411.3906050471526
1086,C,498.11116864085403
1087,A,171.47564542670221
1088,A,196.99431164653592
1089,A,312.83838709170897
1090,C,362.03632262041526
1091,C,202.09447205375972
1092,B,453.4154633210895
1093,B,284.40195472217
1094,B,230.6911374389062
1095,A,326.8696490483535
1096,A,476.8738856420949
1097,B,399.3306242666357
1098,A,29.60643396221093
1099,B,172.83185626258023
1100,C,240.56689562609913
1101,B,164.1136103824616
1102,C,353.0919048069237
1103,A,414.87188343266473
1104,B,368.3590966407831
1105,A,494.7733105458549
1106,C,143.54834746758425
1107,C,438.7448525619665
1108,C,385.64510593549824
1109,A,187.4675912034916
1110,A,369.7210263919146
1111,A,60.997218644941015
1112,A,396.7734063468707
1113,C,270.84199526768026
1114,C,153.22218462753406
1115,B,331.33087787424824
1116,B,324.39379937006044
1117,A,112.64824913260387
1118,C,24.894733257647808
1119,C,222.4750675818202
1120,C,289.0608159787664
1121,B,439.53658640159324
1122,B,464.8262298673213
1123,C,269.11455689681554
1124,C,379.363707046587
1125,C,225.2586034407185
1126,B,375.58025672071756
1127,C,110.35274722019179
1128,C,191.8217200537304
1129,A,320.77171941867124
1130,A,18.897403147468626
1131,B,364.00604206608745
1132,C,419.41239562140174
1133,C,205.57941393603622
1134,A,229.4917844168105
1135,B,427.1282839861002
1136,A,390.07077130975637
1137,A,151.19324962635375
1138,A,168.7482922151541
1139,A,342.6503338713924
1140,C,285.96706529959897
1141,C,89.4924898372835
1142,A,161.86565552229155
1143,B,450.9918056705405
1144,B,347.2054739939091
1145,B,493.12741566590455
1146,B,385.836139690577
1147,A,471.56747175035923
1148,C,115.93240119653295
1149,B,388.0275886602936
1150,A,19.90658487242074
1151,B,338.6724106386516
1152,B,239.94831627891827
1153,A,179.91243524083364
1154,C,432.57813262361367
1155,C,428.59116940219
1156,A,20.927835400335354
